x,y,z
56.59,65.01,15.24
56.53,65.01,15.22
55.86,65.08,15.07
55.81,65.09,15.07
55.75,65.08,15.06
55.7,65.09,15.04
55.67,65.12,15.02
55.62,65.12,15.01
55.55,65.13,14.99
55.52,65.14,14.98
55.46,65.15,14.97
55.41,65.15,14.96
55.39,65.15,14.95
55.34,65.17,14.94
54.67,65.28,14.76
54.62,65.29,14.74
54.57,65.3,14.72
54.53,65.3,14.72
54.48,65.31,14.7
54.43,65.32,14.7
54.4,65.34,14.68
54.36,65.34,14.67
54.31,65.34,14.66
54.25,65.36,14.64
54.2,65.38,14.62
54.15,65.39,14.6
53.51,65.53,14.4
