x,y,z
65.3,60.57,19.4
65.27,60.58,19.38
65.23,60.58,19.38
65.19,60.6,19.36
65.16,60.61,19.35
65.11,60.61,19.33
65.07,60.63,19.32
64.51,60.75,19.15
64.47,60.75,19.14
64.44,60.76,19.13
64.4,60.78,19.12
64.35,60.78,19.1
64.32,60.79,19.09
64.28,60.81,19.07
64.24,60.82,19.06
64.21,60.82,19.05
64.18,60.83,19.04
64.13,60.84,19.03
64.1,60.85,19.01
63.53,60.97,18.84
63.49,60.98,18.83
63.46,60.99,18.82
63.42,61,18.81
63.36,61.01,18.8
63.33,61.02,18.78
63.29,61.03,18.77
63.25,61.04,18.75
63.22,61.04,18.75
63.18,61.05,18.74
63.14,61.06,18.72
63.08,61.07,18.71
62.54,61.2,18.54
62.51,61.21,18.53
62.46,61.21,18.51
62.41,61.23,18.5
62.38,61.23,18.49
62.34,61.24,18.48
62.3,61.25,18.46
62.26,61.26,18.46
62.23,61.27,18.44
62.17,61.27,18.43
62.13,61.28,18.41
62.09,61.29,18.4
61.52,61.41,18.23
61.48,61.42,18.22
61.44,61.43,18.2
61.4,61.44,18.2
61.37,61.44,18.19
61.31,61.45,18.18
61.27,61.46,18.16
61.23,61.47,18.15
61.19,61.48,18.14
17.24,15.93,13
17.07,18.43,14.6
28.81,73.41,15.8
60.41,61.64,17.9
60.35,61.65,17.89
60.31,61.65,17.88
60.27,61.66,17.87
60.23,61.67,17.85
60.19,61.68,17.84
60.16,61.69,17.83
60.12,61.7,17.81
60.07,61.71,17.8
60.02,61.71,17.79
59.98,61.72,17.78
59.94,61.73,17.76
59.34,61.84,17.59
59.3,61.85,17.58
59.26,61.85,17.57
59.2,61.85,17.56
59.16,61.87,17.54
59.12,61.88,17.53
59.08,61.88,17.52
59.04,61.89,17.51
59,61.9,17.5
58.96,61.91,17.48
58.92,61.92,17.47
58.88,61.93,17.46
58.27,62.04,17.28
58.23,62.05,17.27
58.18,62.06,17.25
58.15,62.07,17.24
58.13,62.08,17.23
58.06,62.09,17.22
